,Film,Oscar Year,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Movie Info,Genres,Critic Consensus,Content Rating,Directors,Authors,Actors,Original Release Date,Streaming Release Date,Production Company,Tomatometer Status,Tomatometer Rating,Tomatometer Count,Audience Status,Audience Rating,Audience Count,Tomatometer Top Critics Count,Tomatometer Fresh Critics Count,Tomatometer Rotten Critics Count,Film ID
278,The Last Picture Show,1971,Stephen J. Friedman,Nominee,1971,118,"Drama,Romance",8.0,"44,843","High school seniors and best friends, Sonny (Timothy Bottoms) and Duane (Jeff Bridges), live in a dying Texas town. The handsome Duane is dating local beauty, Jacy (Cybill Shepherd), while Sonny is having an affair with the coach's wife, Ruth (Cloris Leachman). As graduation nears, both boys contemplate their futures. While Duane eyes the army and Sonny takes over a local business, each boy struggles to figure out if he can escape this dead-end town and build a better life somewhere else.","Classics, Drama","Making excellent use of its period and setting, Peter Bogdanovich's small town coming-of-age story is a sad but moving classic filled with impressive performances.",R,Peter Bogdanovich,"Peter Bogdanovich, Larry McMurtry","Timothy Bottoms, Jeff Bridges, Cloris Leachman, Cybill Shepherd, Ben Johnson, Ellen Burstyn, Eileen Brennan, Barclay Doyle, Clu Galager, Joye Hash, Sharon Taggart, Randy Quaid, Joe Heathcock, Bill Thurman, Barc Doyle, Tom Martin, Antonia Bogdanovich, Jessie Lee Fulton, Gary Brockette, Helena Humann, Clu Gulager, Loyd Catlett, Robert Glenn, John Hillerman, Janice O'Malley, Floyd Mahaney, Kimberly Hyde, Noble Willingham, Marjory Jay, Joyce Hash, Pamela Kelier, Gordon Hurst, Sam Bottoms, Mike Hosford, Faye Jordan, Charlie Seybert, Grover Lewis, Rebecca Ulrick, Merrill Shepherd, Buddy Wood, Kenny Wood, Leon Addison Brown, Bobby McGriff, Jack Mueller, Robert Arnold, Frank Marshall, Otis Elmore, Charles Salmon, George Gaulden, Will Morris Hannis",1971-10-22,2014-05-23,Columbia Pictures,Certified-Fresh,100.0,57.0,Upright,90.0,14148.0,15.0,57.0,0.0,c4c3d7c5-c66c-4148-b205-812f47fc9c4f
279,Nicholas and Alexandra,1971,Sam Spiegel,Nominee,1971,183,"Biography,Drama,History",7.2,"4,671","When Tsar Nicholas weds the German princess Alexandra, the marriage proves unpopular with the Russian people, a situation not improved when she has four daughters. When she finally bears a son, the infant's acute hemophilia can only be controlled by the powers of the fanatical monk Rasputin.","Art House & International, Classics, Drama",,PG,Franklin J. Schaffner,"James Goldman, Edward Bond","Michael Jayston, Janet Suzman, Tom Baker, Harry Andrews, Roderic Noble, Ania Marson, Lynne Frederick, Candace Glendenning, Fiona Fullerton, Irene Worth, Jack Hawkins, Timothy West, Katherine Schofield, Jean-Claude Drouot, John Hallam, Guy Rolfe, John Wood, Laurence Olivier, Eric Porter, Michael Redgrave, Maurice Denham, Ralph Truman, Gordon Gostelow, John McEnery, Michael Bryant, Vivian Pickles, Brian Cox, James Hazeldine, Stephen Greif, Steven Berkoff, Eric Chapman, Ian Holm, Alan Webb, Leon Lissek, David Giles, Roy Dotrice, Martin Potter, Richard Warwick, Vernon Dobtcheff, Alexander Knox, Ralph Neville, George Rigaud, Curd Jürgens, Julian Glover, John Shrapnel, Diana Quick, John Forbes-Robertson, Alan Dalton, Penny Sugg, David Baxter",1971-12-13,2014-01-02,Sony Pictures Home Entertainment,Fresh,67.0,15.0,Upright,78.0,1674.0,6.0,10.0,5.0,85261a3e-21e0-4862-9850-5cef43307bc0
280,The Godfather,1972,Albert S. Ruddy,Winner,1972,175,"Crime,Drama",9.2,"1,697,396","Widely regarded as one of the greatest films of all time, this mob drama, based on Mario Puzo's novel of the same name, focuses on the powerful Italian-American crime family of Don Vito Corleone (Marlon Brando). When the don's youngest son, Michael (Al Pacino), reluctantly joins the Mafia, he becomes involved in the inevitable cycle of violence and betrayal. Although Michael tries to maintain a normal relationship with his wife, Kay (Diane Keaton), he is drawn deeper into the family business.",Drama,"One of Hollywood's greatest critical and commercial successes, The Godfather gets everything right; not only did the movie transcend expectations, it established new benchmarks for American cinema.",R,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo","Marlon Brando, Al Pacino, James Caan, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Diane Keaton, Al Lettieri, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Richard S. Castellano, Al Martino, Morgana King, Lenny Montana, Salvatore Corsitto, Richard Bright, Alex Rocco, Tony Giorgio, Vito Scotti, Tere Livrano, Victor Rendina, Jeannie Linero, Julie Gregg, Ardell Sheridan, Simonetta Stefanelli, Angelo Infanti, Corrado Gaipa, Franco Citti, Saro Urzì, John Martino, Carmine Coppola, Sofia Coppola, Joe Spinell, Carlo Savina",1972-03-24,2013-08-01,Paramount Pictures,Certified-Fresh,98.0,99.0,Upright,98.0,733939.0,24.0,97.0,2.0,fa8d4d3c-41e1-488f-a30d-715a0ff09764
281,Cabaret,1972,Cy Feuer,Nominee,1972,124,"Drama,Music,Musical",7.8,"51,698","In Berlin in 1931, American cabaret singer Sally Bowles (Liza Minnelli) meets British academic Brian Roberts (Michael York), who is finishing his university studies. Despite Brian's confusion over his sexuality, the pair become lovers, but the arrival of the wealthy and decadent playboy Maximilian von Heune (Helmut Griem) complicates matters for them both. This love triangle plays out against the rise of the Nazi party and the collapse of the Weimar Republic.","Classics, Drama, Musical & Performing Arts","Great performances and evocative musical numbers help Cabaret secure its status as a stylish, socially conscious classic.",PG,Bob Fosse,"Jay Presson Allen, Hugh Wheeler","Liza Minnelli, Joel Grey, Michael York, Marisa Berenson, Helmut Griem, Fritz Wepper, Elisabeth Neumann-Viertel, Sigrid Von Richtofen, George Hartmann, Helen Vita, Gerd Vespermann, Ralf Wolter, Georg Hartmann, Ricky Renee, Estrongo Nachama, Kathryn Doby, Inge Jaeger, Angelika Koch, Helen Velkovorska, Gitta Schmidt, Louise Quick",1972-02-13,2008-01-01,Twentieth Century Fox Home Entertainment,Certified-Fresh,93.0,43.0,Upright,87.0,36098.0,8.0,40.0,3.0,e353fab3-80df-4ebd-afcd-93f70b158537
282,Deliverance,1972,John Boorman,Nominee,1972,109,"Adventure,Drama,Thriller",7.7,"102,934","Four city-dwelling friends (Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox) decide to get away from their jobs, wives and kids for a week of canoeing in rural Georgia. When the men arrive, they are not welcomed by the backwoods locals, who stalk the vacationers and savagely attack them in the woods. Reeling from the ambush, the friends attempt to return home but are surrounded by dangerous rapids and pursued by a madman. Soon, their canoe trip turns into a fight for survival.","Classics, Drama","Given primal verve by John Boorman's unflinching direction and Burt Reynolds' star-making performance, Deliverance is a terrifying adventure.",R,John Boorman,"James Dickey, Dale Dye","Burt Reynolds, Jon Voight, James Dickey, Ned Beatty, Ronny Cox, Ed Ramey, Billy Redden, Seamon Glass, Randall Deal, Bill McKinney, Herbert 'Cowboy' Coward, Lewis Crone, James Dickey, Ken Keener, Johnny Popwell Sr., Ed O'Neill, John Fowler, John F. Fowler, Macon McCalman, Kathy Rickman, Louise Coldren, Pete Ware, Herbert Coward, Hoyt J. Pollard, Belinda Beatty, Charley Boorman",1972-07-21,2011-09-01,Warner Bros.,Certified-Fresh,89.0,63.0,Upright,82.0,49424.0,6.0,56.0,7.0,5ab0fdff-d86a-4320-822c-33d1184f43e6
283,The Emigrants,1972,Bengt Forslund,Nominee,1971,151,"Drama,History",8.0,"6,121",,,,,,,,,,,,,,,,,,,,ec2ca519-2209-40f8-b5e0-d1776bf1b140
284,Sounder,1972,Robert B. Radnitz,Nominee,1972,105,"Drama,Family",7.6,"3,920",,,,,,,,,,,,,,,,,,,,6e7ed550-a733-4030-a8e4-2aaf59a245dd
285,The Sting,1973,"Tony Bill, Michael Phillips, and Julia Phillips",Winner,1973,129,"Comedy,Crime,Drama",8.3,"249,856","Following the murder of a mutual friend, aspiring con man Johnny Hooker (Robert Redford) teams up with old pro Henry Gondorff (Paul Newman) to take revenge on the ruthless crime boss responsible, Doyle Lonnegan (Robert Shaw). Hooker and Gondorff set about implementing an elaborate scheme, one so crafty that Lonnegan won't even know he's been swindled. As their big con unfolds, however, things don't go according to plan, requiring some last-minute improvisation by the undaunted duo.","Classics, Comedy, Drama","Paul Newman, Robert Redford, and director George Roy Hill prove that charm, humor, and a few slick twists can add up to a great film.",PG,George Roy Hill,"David S. Ward, Marvin Hamlisch","Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston, Eileen Brennan, Harold Gould, John Hefferman, Dana Elcar, Jack Kehoe, Dimitra Arliss, Robert Earl Jones, James J. Sloyan, Charles Dierkop, Sally Kirkland, John Quade, Paulene Myers, William 'Billy' Benedict, Avon Long, Arch Johnson, Lee Paul, Ed Bakey, Ken Sansom, Brad Sullivan, Larry D. Mann, Leonard Barr, Joe Tornatore, Jack Collins, Tom Spratley, Kenneth W. O'Brien, Ken Sanson, Ta-Tanisha, Scott Joplin",1973-12-01,2015-05-08,Universal Pictures,Certified-Fresh,94.0,63.0,Upright,95.0,61731.0,10.0,59.0,4.0,bb6ef738-b9e4-49a2-b8fb-ab2429add488
286,American Graffiti,1973,Francis Ford Coppola and Gary Kurtz,Nominee,1973,110,"Comedy,Drama",7.4,"85,117","On the last day of summer vacation in 1962, friends Curt (Richard Dreyfuss), Steve (Ronny Howard), Terry (Charles Martin Smith) and John (Paul Le Mat) cruise the streets of small-town California while a mysterious disc jockey (Wolfman Jack) spins classic rock'n'roll tunes. It's the last night before their grown-up lives begin, and Steve's high-school sweetheart, a hot-to-trot blonde, a bratty adolescent and a disappearing angel in a Thunderbird provide all the excitement they can handle.","Comedy, Drama","One of the most influential of all teen films, American Graffiti is a funny, nostalgic, and bittersweet look at a group of recent high school grads' last days of innocence.",PG,George Lucas,"George Lucas, Gloria Katz, Willard Huyck","Richard Dreyfuss, Ron Howard, Paul Le Mat, Cindy Williams, Harrison Ford, Suzanne Somers, Flash Cadillac & the Continental Kids, Charles Martin Smith, Candy Clark, Mackenzie Phillips, Wolfman Jack, Bo Hopkins, Manuel Padilla Jr., Beau Gentry, Kay Lenz, Kathleen Quinlan, Tim Crowley, Terence McGovern, Jan Wilson, John Brent, Caprice Schmidt, Jana Bellan, Joe Spano, Charles Dorsett, Christopher Pray, Susan Richardson, Donna Wehr, Al Nalbandian, Jim Bohan, Ron Vincent, Fred Ross, Jody Carlson, Debra Scott, Cam Whitman, John Bracci, Debbie Celiz, Manuel Padilla, Lynne Marie Stewart, Ed Greenberg, Gordon Analla, Lisa Herman, Debralee Scott, Chuck Dorsett, Stephen Knox, Herby and the Heartbeats, Bob Pasaak, Terry McGovern, Joseph Miksak, George Meyer, William M. Niven, James Cranna, Del Close, Charles A. Murphy, Jan Dunn, Johnny Weissmuller Jr., Scott Beach, Albert Nalbandian",1973-08-01,2015-08-13,Universal Pictures,Certified-Fresh,96.0,52.0,Upright,84.0,64618.0,7.0,50.0,2.0,a2b35269-b14a-4126-a4bc-0530348b2457
287,Cries and Whispers,1973,Ingmar Bergman,Nominee,1972,91,Drama,8.1,"32,122","As Agnes (Harriet Andersson) slowly dies of cancer, her sisters are so deeply immersed in their own psychic pains that they can't offer her the support she needs. Maria (Liv Ullmann) is wracked with guilt at her husband's suicide, caused by his discovery of her extramarital affair. The self-loathing, suicidal Karin (Ingrid Thulin) seems to regard her sister with revulsion. Only Anna (Kari Sylwan), the deeply religious maid who lost her young child, seems able to offer Agnes solace and empathy.","Drama, Romance","Visually stunning and achingly performed, Ingmar Bergman's chamber piece is a visceral rumination on death and sisterhood.",R,Ingmar Bergman,Ingmar Bergman,"Liv Ullmann, Ingrid Thulin, Harriet Andersson, Erland Josephson, Anders Ek, Georg Arlin, George Arlin, Henning Moritzen, Kary Sylway, Linn Ullmann, Kari Sylwan, Lars-Owe Carlberg, Rosanna Mariano, Inga Gill, Lena Bergman, Monika Priede",1972-12-21,2016-11-18,Criterion Collection,Fresh,90.0,30.0,Upright,91.0,9251.0,6.0,27.0,3.0,1f294125-03d2-4cca-b9b0-b767bdb0b816
288,The Exorcist,1973,William Peter Blatty,Nominee,1973,122,Horror,8.0,"375,156","One of the most profitable horror movies ever made, this tale of an exorcism is based loosely on actual events. When young Regan (Linda Blair) starts acting odd -- levitating, speaking in tongues -- her worried mother (Ellen Burstyn) seeks medical help, only to hit a dead end. A local priest (Jason Miller), however, thinks the girl may be seized by the devil. The priest makes a request to perform an exorcism, and the church sends in an expert (Max von Sydow) to help with the difficult job.","Classics, Horror","The Exorcist rides its supernatural theme to magical effect, with remarkable special effects and an eerie atmosphere, resulting in one of the scariest films of all time.",R,William Friedkin,William Peter Blatty,"Linda Blair, Jason Miller, Max von Sydow, Ellen Burstyn, Lee J. Cobb, Mercedes McCambridge, Kitty Winn, Jack MacGowran, Rev. William O'Malley, Rudolf Schündler, Wallace Rooney, Titos Vandis, Robert Symonds, Ron Faber, Vasiliki Maliaros, Barton Heyman, Robert Gerringer, Donna Mitchell, Roy Cooper, Peter Masterson",1973-12-26,2014-07-24,Warner Bros. Pictures,Certified-Fresh,83.0,81.0,Upright,87.0,420304.0,19.0,67.0,14.0,0cb63313-b7e2-49db-8bf9-17e72d61183e
289,A Touch of Class,1973,Melvin Frank,Nominee,1973,106,"Comedy,Romance",6.5,"2,991","An affair between a married American insurance executive and a British divorcee does not run entirely smoothly. His back problems rather cramp his style, yet they continue with the relationship and rent a flat for their liaisons. However, he finds that combining parenthood, marriage and career with an affair can takes its toll.","Comedy, Romance",,PG,Melvin Frank,"Jack Rose, Melvin Frank","Glenda Jackson, George Segal, Paul Sorvino, K Callan, Hildegard Neil, Cec Linder, Mary Barclay, Michael Elwyn, Nadim Sawalha, Ian Thompson, Eve Karpf, David de Keyser, Gaye Brown, Samantha Weyson, Michael McVey, Edward Kemp, Lisa Vanderpump, Donald Hewlett, John Sterland, David Healy",1973-06-20,2014-12-02,Media Home Entertainment,Fresh,83.0,12.0,Upright,64.0,2032.0,1.0,10.0,2.0,db331a83-f319-4566-99a6-3c1d77937cf9
290,The Godfather Part II,1974,"Francis Ford Coppola, Gray Frederickson, and Fred Roos",Winner,1974,202,"Crime,Drama",9.0,"1,178,981",,,,,,,,,,,,,,,,,,,,a29ebc75-3d9a-441f-966c-7b53a3478a71
291,Chinatown,1974,Robert Evans,Nominee,1974,130,"Drama,Mystery,Thriller",8.2,"308,349","When Los Angeles private eye J.J. ""Jake"" Gittes (Jack Nicholson) is hired by Evelyn Mulwray to investigate her husband's activities, he believes it's a routine infidelity case. Jake's investigation soon becomes anything but routine when he meets the real Mrs. Mulwray (Faye Dunaway) and realizes he was hired by an imposter. Mr. Mulwray's sudden death sets Gittes on a tangled trail of corruption, deceit and sinister family secrets as Evelyn's father (John Huston) becomes a suspect in the case.","Classics, Drama, Mystery & Suspense","As bruised and cynical as the decade that produced it, this noir classic benefits from Robert Towne's brilliant screenplay, director Roman Polanski's steady hand, and wonderful performances from Jack Nicholson and Faye Dunaway.",R,Roman Polanski,Robert Towne,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, Diane Ladd, John Hillerman, Roman Polanski, Darrell Zwerling, Roy Jenson, Richard Bakalyan, Joe Mantell, Bruce Glover, Nandu Hinds, James O'Rear, James Hong, Beulah Quo, Jerry Fujikawa, Belinda Palmer, Roy Roberts, Noble Willingham, Elliott Montgomery, Rance Howard, Jim Burk, George Justin, Doc Erickson, Fritzi Burr, Charles Knapp, Claudio Martinez, Frederico Roberto, Allan Warnick, Burt Young, Elizabeth Harding, John Rogers, Cecil Elliott, Paul Jenkins, James O'Reare, Lee de Broux, Bob Golden, John Holland, Jesse Vint, Jim Burke, Denny Arnold",1974-01-01,2013-08-01,Paramount Pictures,Certified-Fresh,99.0,75.0,Upright,93.0,77911.0,15.0,74.0,1.0,fc910341-bca7-4172-abff-116ca3e6d80e
292,The Conversation,1974,Francis Ford Coppola,Nominee,1974,113,"Drama,Mystery,Thriller",7.8,"105,312","Surveillance expert Harry Caul (Gene Hackman) is hired by a mysterious client's brusque aide (Harrison Ford) to tail a young couple, Mark (Frederic Forrest) and Ann (Cindy Williams). Tracking the pair through San Francisco's Union Square, Caul and his associate Stan (John Cazale) manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple are in danger.","Drama, Mystery & Suspense","This tense, paranoid thriller presents Francis Ford Coppola at his finest -- and makes some remarkably advanced arguments about technology's role in society that still resonate today.",PG,Francis Ford Coppola,Francis Ford Coppola,"Gene Hackman, John Cazale, Allen Garfield, Frederic Forrest, Cindy Williams, Harrison Ford, Robert Duvall, Timothy Carey, Michael Higgins, Elizabeth MacRae, Teri Garr, Mark Wheeler, Robert Shields, Phoebe Alexander",1974-04-07,2011-10-01,Paramount Pictures,Certified-Fresh,96.0,55.0,Upright,90.0,35156.0,8.0,53.0,2.0,51f09950-d054-4bed-b422-cde53c0ad5d3
